continent,continent code,year,air pollution
Africa,1,2010,1878.9433812299999
Africa,1,2011,1887.1043267
Africa,1,2012,1915.6735213
Africa,1,2013,1874.70387907
Africa,1,2014,1857.66960433
Africa,1,2015,2116.20876734
Africa,1,2016,2065.44025503
Africa,1,2017,2077.9428988199998
Asia,2,2010,1938.636534623
Asia,2,2011,1940.713584842
Asia,2,2012,1909.486234479
Asia,2,2013,1883.696856143
Asia,2,2014,1789.589690048
Asia,2,2015,1886.729415114
Asia,2,2016,1763.636967717
Asia,2,2017,1777.737667137
Europe,3,2010,692.628148212
Europe,3,2011,710.4999572950001
Europe,3,2012,655.486659941
Europe,3,2013,630.283625236
Europe,3,2014,606.574059587
Europe,3,2015,613.675000459
Europe,3,2016,574.09159695
Europe,3,2017,573.955884438
North America,4,2010,547.808959792
North America,4,2011,567.695764177
North America,4,2012,533.917868225
North America,4,2013,521.510551952
North America,4,2014,482.43215302
North America,4,2015,474.802202524
North America,4,2016,447.057815948
North America,4,2017,445.397989624
Oceania,6,2010,183.329165301
Oceania,6,2011,186.50775705499998
Oceania,6,2012,174.28891498000002
Oceania,6,2013,168.514240071
Oceania,6,2014,159.810004244
Oceania,6,2015,159.072646669
Oceania,6,2016,149.792197098
Oceania,6,2017,149.673104129
South America,5,2010,266.21569611
South America,5,2011,267.77489618
South America,5,2012,255.24296709
South America,5,2013,244.79442639
South America,5,2014,229.624127689
South America,5,2015,223.17143403
South America,5,2016,211.081753389
South America,5,2017,210.17189092
